candidate_id,rank,score,reasoning
CAND_0006567,84,0.6493,"Good adjacent fit: Senior AI Engineer with 7.9 yrs; evidence includes BM25, Feature Engineering, Haystack, Kubernetes; Redrob response 0.79, active 56d ago, notice 60d."
CAND_0008295,85,0.6477,"Good adjacent fit: AI Research Engineer with 6.5 yrs; evidence includes BentoML, BM25, Kubernetes, MLflow; Redrob response 0.89, active 33d ago, notice 45d."
CAND_0093912,86,0.6475,"Good adjacent fit: Senior Data Scientist with 5.3 yrs; evidence includes Elasticsearch, Embeddings, FastAPI, Feature Engineering; Redrob response 0.66, active 48d ago, notice 30d."
CAND_0011432,87,0.6467,"Good adjacent fit: Senior Data Scientist with 7.6 yrs; evidence includes AWS, BentoML, Elasticsearch, Haystack; Redrob response 0.67, active 104d ago, notice 60d."
CAND_0044855,88,0.6447,"Good adjacent fit: Senior Data Scientist with 6.6 yrs; evidence includes BentoML, Embeddings, Hugging Face Transformers, Information Retrieval; Redrob response 0.57, active 65d ago, notice 60d."
CAND_0033179,89,0.6446,"Good adjacent fit: AI Research Engineer with 6.9 yrs; evidence includes Docker, FastAPI, Fine-tuning LLMs, Hugging Face Transformers; Redrob response 0.84, active 37d ago, notice 30d."
CAND_0090300,90,0.6433,"Good adjacent fit: AI Research Engineer with 5.3 yrs; evidence includes BentoML, Feature Engineering, Fine-tuning LLMs, Hugging Face Transformers; Redrob response 0.94, active 35d ago, notice 120d; concern: 120d notice."
CAND_0083879,91,0.6424,"Good adjacent fit: Machine Learning Engineer with 7.1 yrs; evidence includes Fine-tuning LLMs, Hugging Face Transformers, Machine Learning, Milvus; Redrob response 0.47, active 72d ago, notice 30d."
CAND_0050876,92,0.6422,"Good adjacent fit: Applied ML Engineer with 6.0 yrs; evidence includes FAISS, Kubeflow, Machine Learning, MLOps; Redrob response 0.67, active 33d ago, notice 90d; concern: 90d notice."
CAND_0079284,93,0.6421,"Good adjacent fit: Machine Learning Engineer with 4.9 yrs; evidence includes Elasticsearch, Feature Engineering, Fine-tuning LLMs, Machine Learning; Redrob response 0.79, active 78d ago, notice 30d."
CAND_0042100,94,0.6415,"Good adjacent fit: Machine Learning Engineer with 7.3 yrs; evidence includes Elasticsearch, Fine-tuning LLMs, Learning to Rank, LLMs; Redrob response 0.87, active 97d ago, notice 90d; concern: 90d notice."
CAND_0078002,95,0.6413,"Good adjacent fit: Machine Learning Engineer with 6.3 yrs; evidence includes BentoML, Deep Learning, FastAPI, Haystack; Redrob response 0.86, active 68d ago, notice 60d."
CAND_0062247,96,0.6407,"Good adjacent fit: AI Engineer with 7.3 yrs; evidence includes BM25, Deep Learning, Hugging Face Transformers, Information Retrieval; Redrob response 0.78, active 66d ago, notice 30d."
CAND_0013613,97,0.6405,"Good adjacent fit: Machine Learning Engineer with 4.7 yrs; evidence includes Fine-tuning LLMs, GCP, LoRA, Machine Learning; Redrob response 0.73, active 97d ago, notice 60d."
CAND_0054546,98,0.6405,"Good adjacent fit: AI Research Engineer with 4.9 yrs; evidence includes BentoML, BM25, FastAPI, Hugging Face Transformers; Redrob response 0.92, active 35d ago, notice 90d; concern: 90d notice."
CAND_0027801,99,0.6399,"Good adjacent fit: NLP Engineer with 7.4 yrs; evidence includes FAISS, Learning to Rank, Milvus, MLOps; Redrob response 0.65, active 77d ago, notice 120d; concern: 120d notice."
CAND_0032515,100,0.6397,"Good adjacent fit: Machine Learning Engineer with 5.1 yrs; evidence includes BentoML, Deep Learning, Elasticsearch, Fine-tuning LLMs; Redrob response 0.54, active 45d ago, notice 45d."
